References,Value,Footprint,DK,Quantity
"C3, C4, C9, C10, C11, C12, C13, C14, C15, C16, C17, C20",0.1uF,C_0805_2012Metric,1276-6840-1-ND,12
"C7, C8",1uF,C_0805_2012Metric,1276-1066-1-ND,2
"C18, C21",4.7uF,C_0805_2012Metric,1276-1065-1-ND,2
C1,27pf,C_0805_2012Metric,1276-2622-1-ND,1
C2,27pf,C_0805_2012Metric,311-1104-1-ND,1
C5,10uF 35V,C_0805_2012Metric,490-18663-1-ND,1
C6,3.3uF,C_0805_2012Metric,1276-2912-1-ND,1
"R1, R2, R3, R19, R20, R21, R24, R26, R28, R29, R32, R34",4.7k,R_0805_2012Metric,311-4.70KCRCT-ND,12
"R7, R8, R9, R22, R23, R47, R48",10k,R_0805_2012Metric,RMCF0805FT10K0CT-ND,7
"R13, R14, R15, R16",36k,R_0805_2012Metric,311-36.0KCRCT-ND,4
"R4, R5",5.1k,R_0805_2012Metric,311-5.10KCRCT-ND,2
"R10, R12",12k,R_0805_2012Metric,RMCF0805FT12K0CT-ND,2
R6,2.2k,R_0805_2012Metric,RMCF0805FT2K20CT-ND,1
R11,1k,R_0805_2012Metric,RMCF0805FT1K00CT-ND,1
R17,33k,R_0805_2012Metric,311-33.0KCRCT-ND,1
R18,22k,R_0805_2012Metric,RMCF0805FT22K0CT-ND,1
D1,LBZX84C12LT1G,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,BZX84C12LT1GOSCT-ND,1
U1,FT4232HQ,QFN50P900X900X105-65N,768-1027-1-ND,1
U2,RT9080-33GJ5,TSOT-23-5_L2.9-W1.6-P0.95-LS2.8-BL,1028-1509-1-ND,1
U3,M93C46-WDW6TP,TSSOP-8_L4.4-W3.0-P0.65-LS6.4-BL,497-8655-1-ND,1
U4,EMC2305,QFN16_4x4MC_MCH,EMC2305-1-AP-CT-ND,1
Y1,12MHz,Crystal_SMD_3225-4Pin_3.2x2.5mm,535-9141-1-ND,1
"FB1, FB2",FerriteBead_Small,R_0603_1608Metric,490-1014-1-ND,2
Q1,DMP3013SFV-7,POWERPAK-1212-8_L3.1-W3.1-P0.65-LS3.3-BL,DMP3013SFV-7DICT-ND,1
"J2, J9, J10",2x9P 2mm,CONN-TH_X2026WV-2-09D-46SN,455-B18B-PHDSS-ND,3
"J6, J7",61900411021,CONN-TH_4P-P2.54_HCTL_HC-2510-4AW,732-2701-ND,2
"J14, J15",353180420,CONN-TH_4P-P4.20_5557-2X2AW,WM13195-ND,2
J1,PSU Comm,CONN-TH_6P-P2.00_PHD-2X3A,S9470-ND,1
J3,455580003,CONN-TH_50362462,WM10869-ND,1
J11,USB_C_Receptacle_USB2.0,USB-C-SMD_G-SWITCH_GT-USB-7010ASV,2073-USB4105-GF-ACT-ND,1
